#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.29299     2.29299           0
           2     2.31578     2.30438  0.00805737
           3     2.31523       2.308  0.00612981
           4     2.33415     2.31454  0.00729395
           5     2.37855     2.32734   0.0128529
           6     2.35299     2.33162   0.0113996
           7     2.45485     2.34922   0.0190037
           8     2.37923     2.35297   0.0169945
           9     2.38619     2.35666   0.0155017
          10     2.34077     2.35507   0.0140327
          11     2.32812     2.35262   0.0129692
          12     2.32429     2.35026   0.0121014
          13     2.24675      2.3423    0.013539
          14     2.27043     2.33717   0.0135102
          15      2.3456     2.33773   0.0126212
          16     2.23222     2.33113   0.0134451
          17     2.32865     2.33099    0.012655
          18     2.37068     2.33319   0.0121425
          19      2.2222     2.32735   0.0128318
          20     2.35628      2.3288   0.0122715
