#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.047936    0.047936           0
           2    0.050316    0.049126 0.000841457
           3    0.051964    0.050072  0.00095462
           4    0.041116    0.047833  0.00206699
           5     0.04677   0.0476204  0.00166449
           6      0.0405   0.0464337     0.00176
           7    0.042022   0.0458034  0.00161748
           8      0.0569   0.0471905  0.00192003
           9    0.053606   0.0479033  0.00183425
          10    0.043162   0.0474292  0.00171101
          11    0.039416   0.0467007   0.0017035
          12    0.043994   0.0464752   0.0015764
          13    0.051482   0.0468603  0.00150145
          14    0.055886    0.047505  0.00152635
          15    0.039664   0.0469823  0.00151146
          16    0.056536   0.0475794   0.0015304
          17    0.045396   0.0474509  0.00144575
          18    0.051856   0.0476957  0.00138599
          19    0.048278   0.0477263  0.00131338
          20     0.04135   0.0474075  0.00128583
