#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.883047    0.883047           0
           2     0.83057    0.856808   0.0185532
           3    0.865449    0.859689   0.0125904
           4    0.837283    0.854087   0.0106159
           5    0.847577    0.852785  0.00857223
           6    0.840771    0.850783  0.00737369
           7    0.841219    0.849416  0.00644563
           8    0.837711    0.847953  0.00580363
           9    0.812977    0.844067  0.00632755
          10     0.85216    0.844876  0.00574631
          11     0.85038    0.845377  0.00524565
          12    0.822334    0.843456  0.00514798
          13    0.838649    0.843087  0.00476525
          14    0.860207    0.844309  0.00457909
          15    0.848064     0.84456  0.00428065
          16    0.836473    0.844054  0.00404284
          17    0.849739    0.844389  0.00381883
          18    0.843384    0.844333  0.00360708
          19    0.846413    0.844442  0.00341889
          20    0.853393     0.84489  0.00327711
