#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.58651    -5.58651           0
           2    -5.53004    -5.55827   0.0199644
           3    -5.56809    -5.56155   0.0135755
           4    -5.53957    -5.55605   0.0112384
           5    -5.54904    -5.55465  0.00907773
           6    -5.54178     -5.5525  0.00781425
           7    -5.54175    -5.55097  0.00684738
           8    -5.53815    -5.54936  0.00617613
           9    -5.51306    -5.54533  0.00667874
          10    -5.55489    -5.54629   0.0060789
          11    -5.55459    -5.54704   0.0055729
          12    -5.52314    -5.54505  0.00545276
          13    -5.53836    -5.54453  0.00505755
          14    -5.56244    -5.54581  0.00485526
          15    -5.55044    -5.54612  0.00454134
          16    -5.53722    -5.54557  0.00429146
          17    -5.55091    -5.54588  0.00405053
          18    -5.54504    -5.54583  0.00382577
          19    -5.54889    -5.54599  0.00362778
          20    -5.55597    -5.54649  0.00348051
