#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.588698    0.588698           0
           2    0.553713    0.571206   0.0123688
           3    0.576966    0.573126  0.00839357
           4    0.558189    0.569391  0.00707729
           5    0.565051    0.568523  0.00571482
           6    0.560514    0.567188  0.00491579
           7    0.560813    0.566278  0.00429709
           8    0.558474    0.565302  0.00386908
           9    0.541985    0.562711  0.00421836
          10    0.568106    0.563251  0.00383087
          11     0.56692    0.563584   0.0034971
          12    0.548223    0.562304  0.00343199
          13    0.559099    0.562058  0.00317683
          14    0.573471    0.562873  0.00305273
          15    0.565376     0.56304  0.00285377
          16    0.557649    0.562703  0.00269523
          17    0.566493    0.562926  0.00254589
          18    0.562256    0.562889  0.00240472
          19    0.564275    0.562962  0.00227926
          20    0.568929     0.56326  0.00218474
