# VELOCITY:     AVE_POFV:        ERROR:
   0.0699206   0.0110575           0
    0.209762   0.0782303           0
    0.349603     0.21206           0
    0.489444     0.35901           0
    0.629285    0.542685           0
    0.769126     0.61909           0
    0.908968    0.718231           0
     1.04881    0.781121           0
     1.18865    0.695108           0
     1.32849    0.699282           0
     1.46833    0.586842           0
     1.60817     0.48175           0
     1.74801    0.409318           0
     1.88786    0.322254           0
      2.0277    0.222384           0
     2.16754    0.141298           0
     2.30738   0.0999221           0
     2.44722   0.0614104           0
     2.58706   0.0471589           0
      2.7269   0.0267629           0
     2.86674   0.0160501           0
     3.00659  0.00857454           0
     3.14643  0.00489974           0
     3.28627   0.0015891           0
     3.42611 0.000794552           0
     3.56595  0.00125804           0
     3.70579  0.00119523           0
     3.84563  0.00140284           0
     3.98547  9.9319e-05           0
     4.12531 0.000132425           0
   0.0699206   0.0129777  0.00135776
    0.209762   0.0788593 0.000444785
    0.349603    0.199886  0.00860799
    0.489444     0.35712  0.00133599
    0.629285    0.544039 0.000957829
    0.769126    0.646799   0.0195935
    0.908968    0.743629   0.0179593
     1.04881    0.791909  0.00762807
     1.18865       0.737   0.0296226
     1.32849      0.7081  0.00623519
     1.46833    0.571779   0.0106511
     1.60817    0.480763 0.000697478
     1.74801    0.394375   0.0105664
     1.88786    0.306332   0.0112591
      2.0277    0.205661    0.011825
     2.16754    0.137093  0.00297303
     2.30738   0.0887285    0.007915
     2.44722   0.0534493  0.00562938
     2.58706   0.0405299  0.00468741
      2.7269   0.0235451  0.00227534
     2.86674   0.0127096  0.00236208
     3.00659  0.00872352 0.000105344
     3.14643  0.00372446 0.000831045
     3.28627 0.000794552 0.000561833
     3.42611 0.000397276 0.000280917
     3.56595  0.00062902 0.000444785
     3.70579 0.000597616 0.000422578
     3.84563 0.000701421  0.00049598
     3.98547 4.96595e-05 3.51146e-05
     4.12531 6.62127e-05 4.68194e-05
   0.0699206   0.0114107  0.00156729
    0.209762    0.079091 0.000351752
    0.349603    0.200287  0.00574797
    0.489444    0.352805  0.00363452
    0.629285     0.51954    0.020014
    0.769126    0.637684   0.0150339
    0.908968    0.747515   0.0123862
     1.04881    0.780011   0.0109651
     1.18865    0.736894   0.0197486
     1.32849    0.703877   0.0054006
     1.46833    0.588619   0.0154752
     1.60817    0.504955   0.0197581
     1.74801    0.407161    0.012594
     1.88786    0.312633  0.00910029
      2.0277     0.21078  0.00892279
     2.16754    0.138649  0.00235425
     2.30738    0.084887  0.00613852
     2.44722   0.0519653  0.00394367
     2.58706   0.0353738    0.005243
      2.7269   0.0213469  0.00234998
     2.86674   0.0126555  0.00157534
     3.00659  0.00728339  0.00117795
     3.14643  0.00338788 0.000618445
     3.28627 0.000529701 0.000432499
     3.42611 0.000264851  0.00021625
     3.56595 0.000419347 0.000342395
     3.70579 0.000398411 0.000325301
     3.84563 0.000467614 0.000381805
     3.98547 3.31063e-05 2.70312e-05
     4.12531 4.41418e-05 3.60416e-05
   0.0699206  0.00990707  0.00175422
    0.209762    0.075259  0.00332913
    0.349603    0.199999  0.00431819
    0.489444    0.356399  0.00413767
    0.629285    0.521004    0.015064
    0.769126    0.640227   0.0114886
    0.908968    0.751122  0.00980075
     1.04881    0.789638   0.0117111
     1.18865    0.751259   0.0193427
     1.32849    0.692595   0.0105767
     1.46833    0.591767   0.0119223
     1.60817    0.504032   0.0148401
     1.74801    0.401661   0.0105787
     1.88786    0.303866   0.0102095
      2.0277    0.210558  0.00669484
     2.16754    0.138161  0.00181563
     2.30738   0.0857306   0.0046615
     2.44722   0.0512564  0.00302079
     2.58706   0.0336068   0.0042195
      2.7269   0.0195194  0.00236876
     2.86674   0.0119001  0.00135052
     3.00659  0.00710959 0.000896196
     3.14643  0.00277266 0.000706413
     3.28627 0.000397276 0.000344051
     3.42611 0.000198638 0.000172026
     3.56595  0.00031451 0.000272374
     3.70579 0.000298808 0.000258775
     3.84563 0.000350711 0.000303724
     3.98547 2.48298e-05 2.15032e-05
     4.12531 3.31063e-05 2.86709e-05
   0.0699206  0.00943531  0.00146544
    0.209762   0.0763697  0.00284256
    0.349603     0.20076  0.00352093
    0.489444    0.357801  0.00353964
    0.629285    0.531821   0.0154545
    0.769126    0.650692    0.013118
    0.908968    0.742798   0.0108123
     1.04881    0.781722   0.0117435
     1.18865    0.750886   0.0154777
     1.32849    0.690627   0.0086426
     1.46833    0.592994  0.00960074
     1.60817    0.499757   0.0124727
     1.74801    0.398082  0.00904797
     1.88786     0.30526  0.00826223
      2.0277    0.210644  0.00535642
     2.16754    0.134968  0.00320414
     2.30738   0.0862236  0.00375517
     2.44722   0.0515528  0.00243113
     2.58706   0.0333809  0.00338164
      2.7269   0.0210384  0.00233169
     2.86674   0.0118706  0.00108074
     3.00659  0.00688612 0.000744296
     3.14643  0.00353576 0.000886132
     3.28627  0.00088725  0.00051751
     3.42611  0.00015891 0.000142134
     3.56595 0.000251608 0.000225045
     3.70579 0.000239046  0.00021381
     3.84563 0.000280568 0.000250948
     3.98547 1.98638e-05 1.77667e-05
     4.12531 2.64851e-05  2.3689e-05
   0.0699206  0.00933047  0.00122494
    0.209762   0.0766632  0.00238391
    0.349603    0.200715  0.00293439
    0.489444    0.357853  0.00295008
    0.629285    0.536191   0.0134824
    0.769126      0.6587   0.0131509
    0.908968    0.746805  0.00972458
