#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -4.70346    -4.70346           0
           2    -4.69947    -4.70146  0.00141128
           3    -4.70264    -4.70186 0.000994308
           4    -4.70229    -4.70196 0.000751538
           5    -4.70146    -4.70186 0.000607845
           6    -4.70101    -4.70172 0.000523147
           7    -4.70053    -4.70155  0.00047542
           8    -4.70044    -4.70141 0.000435918
           9    -4.70008    -4.70126 0.000411837
          10    -4.70273    -4.70141 0.000395913
          11    -4.70421    -4.70166 0.000433922
          12    -4.70081    -4.70159  0.00040359
          13    -4.69971    -4.70145 0.000397722
          14    -4.70223     -4.7015 0.000373216
          15    -4.70237    -4.70156 0.000352791
          16    -4.70075    -4.70151 0.000334401
          17    -4.70117    -4.70149 0.000315319
          18    -4.70165     -4.7015 0.000297932
          19    -4.70247    -4.70155 0.000286619
          20    -4.70257     -4.7016  0.00027682
