0.5     -0.971759 0.000908483
0.65    -0.913538 0.000848801
0.80    -0.84805 0.000610191
0.95    -0.782883 0.000344549
1.10    -0.7214 0.000406648
1.25    -0.665071 0.000358574
1.40    -0.613629 0.000387163
1.55    -0.568279 0.000315331
1.70    -0.528303 0.000285795
1.85    -0.493303 0.000259532
2.0     -0.462036 0.000258951
