#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.29974     0.29974           0
           2     0.28714     0.29344  0.00445477
           3     0.33026    0.305713   0.0104519
           4    0.289392    0.301633  0.00859861
           5    0.236802    0.288667    0.013484
           6    0.269246     0.28543   0.0116186
           7     0.27176    0.283477   0.0101216
           8    0.340048    0.290549   0.0110539
           9     0.29124    0.290625  0.00982599
          10    0.280862    0.289649  0.00889177
          11    0.305534    0.291093  0.00819985
          12    0.321442    0.293622  0.00789692
          13    0.284838    0.292946  0.00731832
          14    0.317742    0.294718  0.00700662
          15    0.266182    0.292815  0.00679286
          16    0.242216    0.289653  0.00706621
          17    0.275142    0.288799  0.00670191
          18    0.297582    0.289287  0.00634732
          19    0.260396    0.287767  0.00619271
          20    0.285466    0.287652  0.00588414
