#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449966    0.449966           0
           2    0.414708    0.432337   0.0124657
           3    0.467092    0.443922   0.0125912
           4    0.446452    0.444555  0.00945928
           5    0.427504    0.441145  0.00815897
           6    0.440109    0.440972  0.00680097
           7    0.417947    0.437683  0.00657691
           8    0.435488    0.437408  0.00576052
           9    0.454252     0.43928  0.00541596
          10    0.426508    0.438003  0.00502271
          11    0.435492    0.437774  0.00457128
          12    0.443519    0.438253  0.00421534
          13    0.424005    0.437157  0.00403104
          14    0.424784    0.436273  0.00383877
          15    0.454087    0.437461  0.00376207
          16    0.439383    0.437581  0.00352885
          17    0.447081     0.43814  0.00336523
          18    0.428388    0.437598  0.00322159
          19    0.443811    0.437925  0.00306859
          20    0.417414      0.4369  0.00308177
