#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      15.764      15.764           0
           2     13.9333     14.8487    0.647268
           3     15.1906     14.9626    0.441431
           4     14.9136     14.9504    0.331244
           5       14.32     14.8243    0.287992
           6     16.9441     15.1776     0.40202
           7     13.9409     15.0009    0.381439
           8     15.7304     15.0921    0.344487
           9     15.8927     15.1811    0.317489
          10      14.422     15.1052    0.294674
          11     14.5058     15.0507    0.272876
          12      14.732     15.0241    0.251425
          13     14.4252     14.9781    0.236268
          14     13.5042     14.8728     0.24171
          15     15.4746     14.9129    0.228902
          16     16.0581     14.9845    0.225509
          17      18.046     15.1646    0.274903
          18     13.1546     15.0529    0.281396
          19     16.4745     15.1277    0.276353
          20     14.1444     15.0786    0.266874
