#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.847252   -0.847252           0
           2   -0.845676   -0.846464   0.0005572
           3    -0.84714   -0.846689 0.000414533
           4   -0.850228   -0.847574 0.000826822
           5   -0.846544   -0.847368 0.000686641
           6   -0.854704   -0.848591  0.00125426
           7     -0.8466   -0.848306  0.00110685
           8   -0.844472   -0.847827  0.00106723
           9   -0.848312   -0.847881  0.00095001
          10   -0.848172    -0.84791 0.000855455
          11   -0.847404   -0.847864 0.000778922
          12   -0.847904   -0.847867 0.000714019
          13   -0.847564   -0.847844 0.000659476
          14   -0.847728   -0.847836 0.000612422
          15   -0.846236   -0.847729 0.000580806
          16   -0.851408   -0.847959 0.000588261
          17    -0.85302   -0.848257 0.000624461
          18   -0.844436   -0.848044 0.000624804
          19   -0.851448   -0.848224 0.000617064
          20   -0.844748    -0.84805 0.000610191
