#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.252384    0.252384           0
           2    0.251981    0.252183 0.000142686
           3    0.249993    0.251453  0.00060355
           4     0.24542    0.249945  0.00138228
           5    0.246949    0.249346  0.00122878
           6     0.24798    0.249118  0.00104484
           7    0.250886    0.249371 0.000925611
           8    0.253825    0.249928  0.00096294
           9    0.254325    0.250416 0.000972022
          10    0.248502    0.250225 0.000893468
          11    0.248427    0.250061 0.000827057
          12    0.248213    0.249907  0.00077234
          13    0.250618    0.249962 0.000714864
          14    0.249145    0.249904 0.000666181
          15    0.248839    0.249833 0.000625537
          16    0.251916    0.249963 0.000599835
          17     0.24927    0.249922 0.000565934
          18    0.249224    0.249883 0.000535822
          19    0.249022    0.249838 0.000509533
          20    0.247572    0.249725 0.000496489
