#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529052   -0.529052           0
           2   -0.527132   -0.528092 0.000678823
           3    -0.52858   -0.528255 0.000471636
           4   -0.529208   -0.528493 0.000409542
           5    -0.53002   -0.528798 0.000426567
           6   -0.527256   -0.528541 0.000425946
           7   -0.529792    -0.52872  0.00040082
           8   -0.527956   -0.528625 0.000361916
           9    -0.52756   -0.528506 0.000340482
          10   -0.526936   -0.528349 0.000340723
          11   -0.528312   -0.528346 0.000309765
          12   -0.529608   -0.528451  0.00030128
          13    -0.52914   -0.528504 0.000282728
          14   -0.525692   -0.528303 0.000326168
          15   -0.527724   -0.528265   0.0003067
          16    -0.52994   -0.528369 0.000304884
          17   -0.528884     -0.5284  0.00028845
          18    -0.52802   -0.528378 0.000273194
          19   -0.529556    -0.52844 0.000265753
          20   -0.525692   -0.528303 0.000285795
