#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.87849     1.87849           0
           2     1.91272      1.8956   0.0121007
           3     1.87747     1.88956  0.00945713
           4     1.90173      1.8926   0.0075664
           5     1.89764     1.89361  0.00611984
           6     1.86565     1.88895  0.00664143
           7     1.94587     1.89708  0.00943863
           8     1.86986     1.89368  0.00885096
           9     1.93614      1.8984  0.00903796
          10     1.89707     1.89826  0.00813515
          11     1.84817     1.89371  0.00857614
          12     1.90378     1.89455  0.00790244
          13     1.82295     1.88904  0.00901189
          14     1.86457     1.88729  0.00853599
          15     1.86258     1.88565  0.00812432
          16     1.87612     1.88505  0.00763834
          17     1.87664     1.88456  0.00720502
          18     1.93758      1.8875   0.0073825
          19      1.8343      1.8847  0.00750614
          20     1.88983     1.88496   0.0071352
