#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.045152    0.045152           0
           2     0.04146    0.043306  0.00130532
           3     0.04422   0.0436107  0.00090507
           4     0.03763   0.0421155  0.00146199
           5    0.039052   0.0415028  0.00129161
           6    0.029774    0.039548  0.00208396
           7      0.0329   0.0385983  0.00199093
           8    0.043016   0.0391505  0.00181703
           9    0.045562   0.0398629  0.00174922
          10     0.04068   0.0399446  0.00157621
          11    0.034962   0.0394916  0.00149659
          12    0.035714   0.0391768  0.00140459
          13    0.046028   0.0397038  0.00139191
          14     0.04279   0.0399243  0.00130983
          15    0.032864   0.0394536  0.00130434
          16    0.047946   0.0399844  0.00132642
          17    0.038598   0.0399028   0.0012509
          18    0.040314   0.0399257  0.00118161
          19    0.037446   0.0397952  0.00112661
          20    0.034282   0.0395195  0.00110349
