# VELOCITY:     AVE_POFV:        ERROR:
     2.06019    0.464199   0.0201794
      2.2128    0.368195   0.0195907
     2.36541    0.354981   0.0215917
     2.51802    0.275308   0.0247818
     2.67062    0.239805   0.0190622
     2.82323    0.219111   0.0162229
     2.97584    0.166905   0.0151251
     3.12844    0.109369  0.00783025
     3.28105    0.131901   0.0123158
     3.43366   0.0731727    0.010207
     3.58626   0.0519282  0.00705834
     3.73887   0.0269175  0.00851384
     3.89148    0.025457  0.00551153
     4.04408   0.0112853  0.00302961
     4.19669  0.00496659  0.00175429
      4.3493  0.00126982 0.000655155
     4.50191           0           0
   0.0763035  0.00547961  0.00310205
     0.22891   0.0255399  0.00573164
    0.381517   0.0807418   0.0047152
    0.534124    0.120362   0.0162584
    0.686731    0.173747   0.0157326
    0.839338    0.224812   0.0156088
    0.991945    0.325614   0.0221398
     1.14455    0.407581   0.0163268
     1.29716    0.472384   0.0238581
     1.44977    0.554537    0.034614
     1.60237    0.548776    0.025774
     1.75498     0.54181   0.0271993
     1.90759    0.533494   0.0344079
     2.06019    0.456093    0.019216
      2.2128    0.370016   0.0172263
     2.36541    0.368218   0.0225889
     2.51802    0.280207   0.0221631
     2.67062    0.242514   0.0168708
     2.82323     0.22339   0.0147486
     2.97584    0.171601   0.0139443
     3.12844    0.106881    0.007236
     3.28105    0.124943   0.0125894
     3.43366   0.0700746  0.00938952
     3.58626    0.049362  0.00662614
     3.73887   0.0343907   0.0102159
     3.89148   0.0240837  0.00499075
     4.04408    0.010671  0.00271248
     4.19669  0.00434577  0.00164118
      4.3493  0.00111109 0.000592176
     4.50191           0           0
   0.0763035   0.0052011  0.00276985
     0.22891   0.0264167  0.00516142
    0.381517   0.0813334  0.00422824
    0.534124    0.118253    0.014588
    0.686731    0.179612   0.0150378
    0.839338     0.23139   0.0151975
    0.991945    0.322532   0.0198932
     1.14455    0.408066   0.0145199
     1.29716    0.458981   0.0246865
     1.44977    0.544022   0.0323255
     1.60237    0.541036   0.0240445
     1.75498    0.537146   0.0245738
     1.90759    0.514087   0.0356404
     2.06019    0.455779   0.0170834
      2.2128    0.387002   0.0221568
     2.36541    0.386702   0.0265864
     2.51802    0.296999   0.0252733
     2.67062    0.244833   0.0151548
     2.82323    0.223553   0.0131108
     2.97584    0.171788   0.0123962
     3.12844    0.107518  0.00645995
     3.28105    0.120616   0.0119108
     3.43366    0.065966  0.00920132
     3.58626   0.0468402  0.00635166
     3.73887    0.034456  0.00908099
     3.89148   0.0269392   0.0051892
     4.04408   0.0098022  0.00254644
     4.19669  0.00449661  0.00146575
      4.3493  0.00141572 0.000599637
     4.50191           0           0
   0.0763035  0.00502683  0.00249834
     0.22891   0.0264842  0.00464572
    0.381517   0.0796921  0.00411162
    0.534124     0.12133   0.0134496
    0.686731    0.178111   0.0136087
    0.839338    0.239107   0.0155137
    0.991945    0.332362    0.020187
     1.14455    0.399616   0.0153304
     1.29716    0.462611   0.0224832
     1.44977    0.541232   0.0292131
     1.60237    0.545203   0.0219983
     1.75498    0.528712   0.0235191
     1.90759    0.508508     0.03251
     2.06019    0.439352    0.021892
      2.2128    0.388374   0.0199835
     2.36541    0.390998   0.0242724
     2.51802    0.294478   0.0228713
     2.67062    0.250146   0.0145411
     2.82323    0.230263   0.0134075
     2.97584    0.169705   0.0113303
     3.12844    0.111664  0.00701982
     3.28105    0.121123   0.0107305
     3.43366    0.067169  0.00835946
     3.58626   0.0447136  0.00606206
     3.73887   0.0381669  0.00889886
     3.89148    0.024488   0.0052172
     4.04408  0.00882198  0.00247327
     4.19669  0.00404695  0.00138643
      4.3493  0.00127415 0.000556135
     4.50191           0           0
   0.0763035  0.00456985  0.00231264
     0.22891   0.0243275  0.00469738
    0.381517   0.0775964  0.00423843
    0.534124    0.119158    0.012401
    0.686731    0.184371   0.0137361
    0.839338    0.249651   0.0173199
    0.991945    0.329934   0.0184974
     1.14455    0.399662   0.0139368
     1.29716    0.466792   0.0208243
     1.44977    0.533812   0.0274837
     1.60237    0.537491   0.0213076
     1.75498    0.515033   0.0250451
     1.90759    0.511911   0.0297322
     2.06019    0.427809   0.0227422
      2.2128     0.39593   0.0195435
     2.36541    0.381644   0.0237998
     2.51802    0.294078   0.0207956
     2.67062      0.2641   0.0187548
     2.82323    0.240368   0.0155364
     2.97584     0.18064   0.0146561
     3.12844    0.116935  0.00812295
     3.28105      0.1168   0.0105901
     3.43366   0.0671246  0.00759963
     3.58626   0.0425021   0.0059006
     3.73887   0.0348599  0.00868263
     3.89148   0.0226672  0.00505064
     4.04408  0.00817719  0.00233096
     4.19669  0.00367904  0.00130829
      4.3493  0.00115832   0.0005175
     4.50191           0           0
   0.0763035  0.00418903  0.00215104
     0.22891   0.0242645  0.00430635
    0.381517   0.0827617  0.00628905
    0.534124    0.118582   0.0113809
    0.686731    0.187224   0.0128843
    0.839338    0.255417   0.0168089
    0.991945     0.32838   0.0170211
     1.14455    0.397396   0.0129582
     1.29716    0.459314   0.0203874
     1.44977    0.521158   0.0279548
     1.60237     0.52965   0.0209248
     1.75498    0.508584   0.0237739
     1.90759    0.523464   0.0294135
     2.06019    0.439405   0.0236193
      2.2128     0.39323   0.0181004
     2.36541     0.37722    0.022224
     2.51802    0.303139    0.020944
     2.67062    0.265815   0.0172701
     2.82323    0.233529   0.0156749
     2.97584    0.173861   0.0149203
     3.12844    0.119565  0.00786038
     3.28105    0.126508   0.0134396
     3.43366   0.0702326  0.00757522
     3.58626    0.042363  0.00541052
     3.73887   0.0342529  0.00798027
     3.89148   0.0212283  0.00483039
     4.04408  0.00761205  0.00220416
     4.19669  0.00337246  0.00123467
      4.3493  0.00106179 0.000483293
     4.50191           0           0
   0.0763035  0.00402548  0.00199179
     0.22891   0.0235811  0.00402895
    0.381517   0.0854078  0.00633755
    0.534124      0.1196   0.0105509
    0.686731    0.184712   0.0121357
    0.839338    0.269098   0.0203352
    0.991945    0.329483   0.0157475
     1.14455    0.397589   0.0119628
     1.29716    0.458426   0.0188385
     1.44977    0.511796   0.0273273
     1.60237    0.516122   0.0232809
     1.75498    0.506951   0.0220011
     1.90759     0.51255   0.0291055
     2.06019     0.44667   0.0228922
      2.2128    0.397512   0.0172071
     2.36541    0.379256   0.0206076
     2.51802    0.309047   0.0201489
     2.67062    0.265796   0.0159417
     2.82323    0.227527   0.0155758
     2.97584    0.169567   0.0143772
     3.12844    0.124358  0.00859351
     3.28105     0.12753   0.0124446
     3.43366   0.0744819  0.00809709
     3.58626   0.0443223   0.0053373
     3.73887   0.0346961   0.0073787
     3.89148   0.0213105  0.00445952
     4.04408  0.00727153  0.00206074
     4.19669  0.00311304  0.00116663
      4.3493 0.000980117 0.000452966
     4.50191           0           0
   0.0763035  0.00379429  0.00186289
     0.22891   0.0243086  0.00380627
    0.381517   0.0839265  0.00605552
    0.534124    0.116013   0.0103891
    0.686731    0.183598   0.0113199
    0.839338    0.277094   0.0203942
    0.991945    0.338978   0.0172497
     1.14455    0.394522   0.0114948
     1.29716    0.451061   0.0188779
     1.44977    0.511982    0.025376
     1.60237    0.517157    0.021641
     1.75498    0.503149   0.0207557
     1.90759    0.507704    0.027427
     2.06019    0.441685    0.021793
      2.2128    0.398982   0.0160407
     2.36541    0.386182    0.020266
     2.51802    0.312333   0.0189757
     2.67062    0.267311   0.0148748
     2.82323    0.219932   0.0162096
     2.97584    0.166889   0.0135975
     3.12844    0.129392   0.0093385
     3.28105    0.124813   0.0118484
     3.43366   0.0792958  0.00883458
     3.58626   0.0468142  0.00550716
     3.73887   0.0347886  0.00685223
     3.89148   0.0203149  0.00425067
     4.04408  0.00678464  0.00197023
     4.19669  0.00292318  0.00109864
      4.3493 0.000957781 0.000421161
     4.50191 9.75116e-05 9.39645e-05
   0.0763035  0.00357774  0.00175123
     0.22891   0.0235839  0.00362084
    0.381517   0.0817817  0.00601967
    0.534124    0.115202  0.00972816
    0.686731    0.191564   0.0130714
    0.839338    0.281127   0.0194292
    0.991945    0.337715   0.0161459
     1.14455    0.395111   0.0107436
     1.29716    0.446641   0.0181294
     1.44977    0.506243   0.0243245
     1.60237     0.50924   0.0215976
     1.75498    0.502448   0.0193838
     1.90759    0.512818   0.0260709
     2.06019    0.442971    0.020378
      2.2128    0.398366   0.0149831
     2.36541    0.389109   0.0191251
     2.51802    0.315948   0.0180518
     2.67062    0.265247   0.0140255
     2.82323    0.217585   0.0152979
     2.97584    0.164435   0.0129105
     3.12844    0.131394  0.00892793
     3.28105    0.126694   0.0112067
     3.43366   0.0807624  0.00836645
     3.58626   0.0488162  0.00549185
     3.73887   0.0352199  0.00640897
     3.89148    0.019084  0.00414169
     4.04408  0.00638492  0.00187899
     4.19669   0.0027283  0.00104254
      4.3493 0.000893929 0.000397895
     4.50191 9.10108e-05 8.79248e-05
   0.0763035  0.00337499  0.00165348
     0.22891   0.0229025  0.00345806
    0.381517    0.081329  0.00566044
    0.534124    0.114666  0.00913488
    0.686731    0.190881   0.0122723
    0.839338    0.279749   0.0182637
    0.991945    0.340642   0.0153999
     1.14455    0.394948   0.0100734
     1.29716    0.450673   0.0174389
     1.44977    0.508885   0.0229473
     1.60237    0.507742   0.0202996
     1.75498     0.49872   0.0185273
     1.90759    0.511991   0.0244546
     2.06019    0.454797   0.0222732
