#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.59688     1.59688           0
           2     1.59697     1.59693 3.26459e-05
           3     1.59709     1.59698 4.80508e-05
           4     1.59701     1.59699 3.66241e-05
           5       1.597     1.59699 2.93301e-05
           6     1.59708       1.597  2.7701e-05
           7       1.597       1.597 2.37502e-05
           8     1.59688     1.59699 2.55502e-05
           9     1.59692     1.59698  2.3864e-05
          10     1.59692     1.59697 2.22323e-05
          11     1.59692     1.59697 2.07727e-05
          12      1.5969     1.59696 1.98014e-05
          13     1.59694     1.59696 1.83874e-05
          14     1.59682     1.59695 1.95304e-05
          15     1.59687     1.59695 1.89254e-05
          16     1.59694     1.59694  1.7747e-05
          17     1.59676     1.59693 1.98744e-05
          18     1.59666     1.59692  2.3735e-05
          19     1.59691     1.59692 2.24904e-05
          20     1.59695     1.59692 2.14203e-05
