#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.96073     1.96073           0
           2     1.98182     1.97128    0.007456
           3     1.97725     1.97327  0.00522952
           4     1.96485     1.97116  0.00432422
           5     1.92674     1.96228  0.00866706
           6     1.94949     1.96015  0.00747993
           7     1.95464     1.95936  0.00645258
           8     1.96868     1.96053  0.00575025
           9     2.01783     1.96689  0.00788436
          10     1.97236     1.96744  0.00711484
          11     2.00894     1.97121  0.00740102
          12     2.01389     1.97477  0.00759078
          13     2.02802     1.97886  0.00803656
          14     2.01305     1.98131  0.00782467
          15     2.01427      1.9835  0.00760527
          16      2.0038     1.98477  0.00723495
          17     2.02509     1.98714  0.00718752
          18      2.0536     1.99084  0.00767815
          19     2.00476     1.99157  0.00730893
          20     1.99503     1.99174  0.00694553
