#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.036372    0.036372           0
           2    0.034488     0.03543 0.000666095
           3    0.036562   0.0358073 0.000540474
           4     0.03123    0.034663  0.00107072
           5    0.031346   0.0339996  0.00104202
           6     0.02379    0.032298  0.00177958
           7     0.03004   0.0319754  0.00155431
           8    0.039192   0.0328775  0.00160052
           9    0.039946   0.0336629  0.00160385
          10    0.037096   0.0340062  0.00147975
          11     0.02444   0.0331365  0.00158025
          12    0.030176   0.0328898   0.0014677
          13    0.039474   0.0333963  0.00143953
          14    0.034324   0.0334626  0.00133823
          15     0.02653   0.0330004  0.00132643
          16    0.039174   0.0333863  0.00129843
          17     0.03364   0.0334012  0.00122214
          18    0.031816   0.0333131  0.00115741
          19       0.031   0.0331914  0.00110288
          20    0.029046   0.0329841  0.00106704
