#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.58866     1.58866           0
           2      1.5832     1.58593  0.00193174
           3     1.59764     1.58983  0.00343776
           4     1.57097     1.58512   0.0048293
           5     1.54339     1.57677  0.00840544
           6     1.56949     1.57556  0.00709163
           7     1.61532     1.58124  0.00803758
           8     1.58294     1.58145  0.00703569
           9     1.61901     1.58562   0.0073889
          10     1.58597     1.58566  0.00665009
          11     1.56013     1.58334   0.0064376
          12     1.60368     1.58503  0.00612019
          13     1.55427     1.58267  0.00608974
          14     1.59198     1.58333  0.00569099
          15     1.57996     1.58311  0.00531603
          16     1.57997     1.58291  0.00498739
          17     1.57306     1.58233  0.00472753
          18     1.64907     1.58604  0.00573758
          19     1.54946     1.58411  0.00574954
          20     1.59891     1.58485  0.00550947
