#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.227601    0.227601           0
           2     0.22461    0.226106  0.00105746
           3    0.220509     0.22424   0.0016783
           4    0.216836    0.222389  0.00203816
           5    0.217825    0.221476  0.00182352
           6     0.22195    0.221555  0.00152131
           7    0.220531    0.221409    0.001311
           8    0.224538      0.2218  0.00120405
           9    0.223063     0.22194  0.00107841
          10    0.224194    0.222166  0.00099385
          11    0.219027     0.22188 0.000943579
          12    0.221746    0.221869 0.000865013
          13     0.22146    0.221838 0.000799046
          14     0.21794    0.221559 0.000788988
          15    0.222359    0.221613 0.000738188
          16     0.22079    0.221561  0.00069384
          17    0.220688     0.22151 0.000654925
          18    0.223233    0.221606   0.0006255
          19    0.222413    0.221648 0.000594023
          20    0.217915    0.221461 0.000592927
