#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.494408   -0.494408           0
           2     -0.4908   -0.492604  0.00127562
           3   -0.494704   -0.493304  0.00102463
           4   -0.494124   -0.493509 0.000788715
           5   -0.494084   -0.493624 0.000639301
           6    -0.49282    -0.49349 0.000546614
           7   -0.494256   -0.493599 0.000479354
           8   -0.492924   -0.493515 0.000426805
           9   -0.492516   -0.493404 0.000393552
          10   -0.491992   -0.493263 0.000378681
          11   -0.492984   -0.493237 0.000345102
          12   -0.495232   -0.493404 0.000354115
          13   -0.494776   -0.493509 0.000342249
          14   -0.491304   -0.493352  0.00035219
          15     -0.4929   -0.493322 0.000329995
          16    -0.49376   -0.493349 0.000310506
          17   -0.492668   -0.493309 0.000294814
          18   -0.493868    -0.49334 0.000280066
          19   -0.493768   -0.493363 0.000266231
          20   -0.492168   -0.493303 0.000259532
