#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.88595     3.88595           0
           2     4.14317     4.01456    0.090943
           3     4.05233     4.02715   0.0614939
           4     3.94035     4.00545   0.0498021
           5     4.03484     4.01133   0.0401871
           6     3.97231     4.00482   0.0340112
           7     4.10405       4.019   0.0319701
           8       4.107        4.03   0.0298062
           9     3.89618     4.01513   0.0299747
          10     3.82341     3.99596   0.0325357
          11      3.7539     3.97395   0.0362638
          12     3.94673     3.97168   0.0333127
          13      3.8734     3.96412   0.0315965
          14     3.93674     3.96217   0.0294001
          15     3.99007     3.96403   0.0274989
          16     4.07591     3.97102   0.0266545
          17      4.1274     3.98022   0.0266267
          18     4.13468      3.9888    0.026494
          19     3.91369     3.98485   0.0253928
          20     3.84369     3.97779   0.0250849
