#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.354694    0.354694           0
           2    0.359355    0.357024  0.00164773
           3    0.349896    0.354648  0.00222942
           4    0.358533    0.355619   0.0018717
           5     0.36202      0.3569  0.00188497
           6    0.364719    0.358203  0.00197048
           7    0.349637    0.356979  0.00203378
           8    0.361152    0.357501  0.00184524
           9    0.356421    0.357381  0.00164411
          10    0.352422    0.356885  0.00155267
          11    0.363742    0.357508  0.00153156
          12    0.345907    0.356542  0.00168161
          13    0.355523    0.356463  0.00155408
          14    0.367611     0.35726  0.00163438
          15    0.362815     0.35763  0.00156682
          16    0.354279     0.35742  0.00148283
          17    0.359045    0.357516  0.00139868
          18    0.355552    0.357407  0.00132522
          19    0.363608    0.357733  0.00129503
          20    0.352343    0.357464  0.00125802
