#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.667352   -0.667352           0
           2   -0.664244   -0.665798  0.00109884
           3   -0.666692   -0.666096 0.000771914
           4   -0.667088   -0.666344  0.00061749
           5    -0.66574   -0.666223  0.00050567
           6    -0.66322   -0.665723  0.00062157
           7     -0.6667   -0.665862 0.000548231
           8   -0.664444   -0.665685 0.000507558
           9   -0.663264   -0.665416  0.00051756
          10   -0.662668   -0.665141 0.000533795
          11   -0.664892   -0.665119 0.000485749
          12   -0.665412   -0.665143 0.000445885
          13   -0.666064   -0.665214 0.000417176
          14   -0.662912   -0.665049 0.000418526
          15    -0.66348   -0.664945 0.000403491
          16    -0.66732   -0.665093  0.00040466
          17   -0.665644   -0.665126 0.000382152
          18   -0.665588   -0.665151 0.000361783
          19   -0.666336   -0.665214 0.000348073
          20   -0.662368   -0.665071 0.000358574
