#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.359716    0.359716           0
           2    0.359845     0.35978  4.5501e-05
           3    0.358448    0.359336 0.000363987
           4    0.352358    0.357592  0.00153519
           5    0.362352    0.358544  0.00149448
           6    0.352686    0.357567  0.00153146
           7    0.361202    0.358087  0.00139795
           8    0.356662    0.357909  0.00123449
           9    0.365122     0.35871  0.00133232
          10    0.359032    0.358742  0.00119948
          11    0.363277    0.359155   0.0011591
          12     0.35508    0.358815  0.00111114
          13    0.356829    0.358662  0.00103612
          14    0.346909    0.357823    0.001257
          15    0.365494    0.358334    0.001273
          16    0.361887    0.358556  0.00121265
          17    0.344062    0.357704  0.00140954
          18     0.35613    0.357616  0.00133394
          19    0.358808    0.357679  0.00126521
          20    0.361691    0.357879  0.00121775
