#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     3.98757     3.98757           0
           2     4.12185     4.05471   0.0474735
           3      4.0383     4.04924   0.0319626
           4     3.88451     4.00806   0.0429721
           5     3.90432     3.98731   0.0390667
           6     3.96408     3.98344   0.0327469
           7     4.06861     3.99561   0.0302451
           8     3.94065     3.98874   0.0272334
           9     4.04694      3.9952   0.0249637
          10     4.06247     4.00193   0.0233559
          11     4.02701     4.00421   0.0213437
          12     3.90731     3.99613   0.0210371
          13     4.02424      3.9983   0.0195296
          14      3.8615     3.98853   0.0204334
          15     3.87543     3.98099    0.020415
          16     3.91238      3.9767   0.0195841
          17     4.03494     3.98012   0.0187294
          18     3.86092      3.9735   0.0188233
          19     4.09049     3.97966   0.0188127
          20     4.03348     3.98235   0.0180636
