#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.087752    0.087752           0
           2    0.074578    0.081165  0.00465771
           3    0.067086    0.076472  0.00493201
           4     0.07302    0.075609  0.00377376
           5     0.07284   0.0750552  0.00305937
           6    0.077838    0.075519  0.00258439
           7    0.088656   0.0773957  0.00281531
           8    0.067896   0.0762082  0.00270225
           9    0.074278   0.0759938  0.00241049
          10      0.0753   0.0759244  0.00217044
          11    0.067162   0.0751278  0.00211426
          12    0.065382   0.0743157  0.00208824
          13    0.082174   0.0749202   0.0020132
          14     0.06528   0.0742316  0.00198367
          15    0.073668    0.074194  0.00185178
          16    0.077442    0.074397  0.00174713
          17    0.084936   0.0750169   0.0017509
          18      0.0702   0.0747493  0.00167395
          19    0.077598   0.0748993  0.00159255
          20    0.083728   0.0753407  0.00157291
