#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.665796   -0.665796           0
           2   -0.663684    -0.66474 0.000746705
           3   -0.665332   -0.664937 0.000523229
           4      -0.664   -0.664703  0.00044179
           5   -0.664528   -0.664668 0.000354816
           6   -0.663732   -0.664512 0.000328187
           7   -0.665148   -0.664603 0.000293611
           8   -0.663184   -0.664426  0.00030582
           9   -0.663128   -0.664281 0.000303927
          10   -0.665148   -0.664368 0.000285624
          11   -0.665068   -0.664432 0.000266653
          12   -0.664956   -0.664475 0.000247986
          13   -0.665584   -0.664561 0.000243133
          14     -0.6622   -0.664392 0.000278156
          15   -0.663968   -0.664364 0.000261045
          16   -0.663484   -0.664309 0.000250453
          17   -0.664372   -0.664312 0.000235748
          18   -0.665144   -0.664359 0.000227132
          19   -0.663652   -0.664321 0.000218202
          20   -0.663424   -0.664277 0.000211855
