#   N_BLOCK:  ACCEPTANCE:
           1    0.334409
           2    0.335105
           3    0.334886
           4    0.335449
           5    0.335442
           6    0.335498
           7    0.335444
           8    0.335674
           9    0.335822
          10    0.335721
          11    0.335627
          12    0.335592
          13    0.335499
          14    0.335684
          15    0.335721
          16    0.335777
          17    0.335732
          18    0.335688
          19    0.335646
          20    0.335695
