#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.383288    0.383288           0
           2    0.386504    0.384896  0.00113687
           3    0.377676    0.382489  0.00210609
           4     0.33673     0.37105   0.0100324
           5    0.384681    0.373776  0.00838812
           6     0.35862     0.37125  0.00736061
           7    0.368381     0.37084  0.00632049
           8    0.287958     0.36048   0.0111581
           9    0.346031    0.358874   0.0100331
          10    0.302289    0.353216    0.010505
          11    0.343098    0.352296   0.0095902
          12    0.339862     0.35126  0.00884681
          13    0.339354    0.350344  0.00821355
          14    0.329286     0.34884  0.00776337
          15    0.334656    0.347894  0.00730318
          16    0.332174    0.346912  0.00691251
          17     0.30015    0.344161  0.00703191
          18    0.371598    0.345685  0.00680444
          19    0.362232    0.346556  0.00650181
          20    0.306963    0.344577  0.00647109
