#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     70.0112     70.0112           0
           2     70.8327      70.422    0.290423
           3        71.8     70.8813    0.422082
           4     77.0295     72.4184     1.36825
           5     68.7042     71.6755     1.28047
           6     75.5051     72.3138     1.21577
           7     79.3049     73.3125     1.39317
           8      84.266     74.6817     1.76815
           9     75.5046     74.7731     1.57405
          10     80.4819      75.344     1.51664
          11     77.4836     75.5385     1.39118
          12     77.3497     75.6894     1.28341
          13     79.9501     76.0172     1.22582
          14     76.0538     76.0198     1.13826
          15     79.4386     76.2477     1.08496
          16     77.1594     76.3047     1.01864
          17     83.1262      76.706     1.03474
          18      79.407      76.856    0.988076
          19     73.4497     76.6767    0.952197
          20     79.7875     76.8323    0.917203
