#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.96528    -0.96528           0
           2   -0.965024   -0.965152 9.05097e-05
           3   -0.966568   -0.965624 0.000390081
           4   -0.972504   -0.967344  0.00151802
           5   -0.963168   -0.966509  0.00142578
           6    -0.97086   -0.967234  0.00136014
           7   -0.973624   -0.968147  0.00143994
           8   -0.978336    -0.96942  0.00173403
           9   -0.971416   -0.969642  0.00155547
          10   -0.976788   -0.970357  0.00155542
          11   -0.971244   -0.970437  0.00141611
          12   -0.971252   -0.970505  0.00129973
          13   -0.973548   -0.970739  0.00122064
          14   -0.971688   -0.970807  0.00113533
          15    -0.97502   -0.971088  0.00109383
          16   -0.973288   -0.971225  0.00103407
          17   -0.976972   -0.971564  0.00102701
          18   -0.973384   -0.971665  0.00097492
          19     -0.9694   -0.971545 0.000930866
          20   -0.975816   -0.971759 0.000908483
