#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.429867    0.429867           0
           2    0.413898    0.421882    0.005646
           3     0.42002    0.421261  0.00379797
           4    0.439921    0.425926   0.0049432
           5    0.414952    0.423731  0.00441505
           6    0.434055    0.425452  0.00400042
           7    0.413204    0.423702   0.0037923
           8    0.421097    0.423377  0.00333221
           9    0.430222    0.424137  0.00304754
          10    0.427792    0.424503  0.00276461
          11    0.422507    0.424321  0.00251923
          12     0.42087    0.424034  0.00232566
          13    0.415381    0.423368  0.00223997
          14    0.433767    0.424111  0.00219969
          15    0.419323    0.423792  0.00207608
          16    0.426527    0.423963  0.00195335
          17    0.432086    0.424441  0.00189599
          18    0.430974    0.424804  0.00182507
          19    0.420503    0.424577    0.001743
          20    0.427007    0.424699  0.00166007
