#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.180974    0.180974           0
           2     0.17582    0.178397  0.00182221
           3    0.206642    0.187812  0.00778271
           4    0.145678    0.177279   0.0108299
           5    0.145928    0.171008   0.0103206
           6    0.175924    0.171828  0.00863296
           7    0.150646    0.168802  0.00791225
           8    0.204738    0.173294  0.00809858
           9    0.146914    0.170363  0.00771093
          10    0.194044    0.172731  0.00729442
          11    0.162532    0.171804  0.00668996
          12    0.179264    0.172425  0.00616128
          13    0.192896       0.174  0.00588512
          14    0.192588    0.175328  0.00561253
          15    0.169392    0.174932  0.00525229
          16    0.150848    0.173427  0.00513519
          17    0.150096    0.172054  0.00501315
          18     0.16129    0.171456  0.00477018
          19    0.149698    0.170311  0.00465455
          20    0.158492     0.16972  0.00445918
