#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     8.77952     8.77952           0
           2     7.97757     8.37854    0.283533
           3     8.43299     8.39669    0.189602
           4     8.09331     8.32085    0.156638
           5      8.6086      8.3784    0.135471
           6     8.40225     8.38237    0.112951
           7     8.30896     8.37189   0.0973009
           8     9.40769     8.50136    0.148044
           9     8.52693      8.5042    0.131622
          10     8.18209     8.47199    0.122337
          11     8.85667     8.50696    0.116106
          12      8.5303     8.50891    0.106447
          13     7.80158      8.4545    0.111299
          14     8.74179     8.47502    0.105224
          15     8.30518      8.4637   0.0988164
          16     8.76939      8.4828   0.0944694
          17     8.63533     8.49177   0.0893374
          18     8.11051     8.47059   0.0868489
          19     8.83785     8.48992   0.0844015
          20     8.06921     8.46889   0.0827613
