#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.91222    -0.91222           0
           2   -0.915908   -0.914064   0.0013039
           3   -0.914424   -0.914184 0.000874774
           4   -0.912768    -0.91383 0.000724175
           5   -0.906628    -0.91239   0.0014126
           6    -0.91778   -0.913288  0.00143469
           7    -0.91126   -0.912998  0.00125864
           8   -0.909996   -0.912623  0.00115591
           9   -0.916876   -0.913096  0.00111991
          10    -0.91832   -0.913618  0.00112319
          11   -0.912192   -0.913488  0.00102854
          12   -0.913376   -0.913479 0.000942866
          13   -0.918228   -0.913844 0.000938442
          14    -0.90522   -0.913228  0.00105439
          15   -0.918512   -0.913581  0.00104127
          16   -0.917288   -0.913812  0.00100164
          17    -0.91466   -0.913862 0.000943964
          18   -0.908312   -0.913554 0.000940533
          19    -0.91252   -0.913499 0.000892604
          20   -0.914268   -0.913538 0.000848801
