#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.446934    0.446934           0
           2    0.449162    0.448048 0.000787605
           3    0.419705      0.4386  0.00773174
           4    0.415074    0.432719  0.00771815
           5    0.437329    0.433641  0.00622935
           6    0.432231    0.433406  0.00519556
           7      0.4059    0.429476  0.00575039
           8    0.408246    0.426823  0.00561062
           9    0.461804    0.430709  0.00618877
          10    0.399268    0.427565  0.00631827
          11    0.435635    0.428299  0.00578632
          12    0.419783    0.427589  0.00534747
          13    0.441759    0.428679  0.00504598
          14    0.394314    0.426224  0.00524875
          15    0.436604    0.426916  0.00494424
          16    0.417818    0.426348  0.00466781
          17     0.43565    0.426895  0.00442519
          18    0.382527     0.42443  0.00481717
          19    0.440924    0.425298   0.0046412
          20    0.442559    0.426161  0.00448867
