#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     32.1126     32.1126           0
           2     34.6261     33.3693    0.888661
           3     33.1004     33.2797    0.596945
           4     32.0582     32.9743    0.519987
           5     30.1834     32.4161    0.649847
           6     35.8987     32.9966    0.757641
           7     29.4975     32.4967    0.797436
           8     31.1992     32.3345    0.714058
           9     37.0276      32.856    0.802854
          10     33.3363      32.904    0.724004
          11     31.7815     32.8019    0.665338
          12     31.9587     32.7317    0.613593
          13     37.6304     33.1085    0.672216
          14     26.5166     32.6376    0.771679
          15     37.2744     32.9468    0.779692
          16     34.1093     33.0194    0.734338
          17     34.8771     33.1287    0.699225
          18     27.9903     32.8432    0.716286
          19     31.4892      32.772    0.682123
          20     33.1376     32.7902    0.648261
