#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.58797     0.58797           0
           2    0.648762    0.618366   0.0214932
           3    0.569638    0.602123   0.0195243
           4    0.515204    0.580393   0.0238446
           5     0.55972    0.576259   0.0194308
           6    0.579526    0.576803      0.0162
           7    0.535974    0.570971   0.0148988
           8    0.626396    0.577899   0.0145584
           9    0.512586    0.570642   0.0146382
          10    0.530336    0.566611   0.0137181
          11    0.459488    0.556873    0.015548
          12    0.638442     0.56367    0.015668
          13    0.587024    0.565467   0.0145654
          14    0.628114    0.569941   0.0141957
          15    0.504646    0.565588   0.0139007
          16    0.566034    0.565616    0.013032
          17    0.542094    0.564233   0.0123386
          18     0.57644    0.564911   0.0116718
          19    0.493794    0.561168   0.0116422
          20    0.569364    0.561578   0.0110673
