#   N_BLOCK:  ACCEPTANCE:
           1    0.279532
           2    0.278284
           3    0.278565
           4    0.278791
           5    0.278785
           6    0.279086
           7    0.279041
           8    0.279355
           9    0.279581
          10     0.27957
          11     0.27951
          12    0.279466
          13    0.279274
          14    0.279351
          15    0.279283
          16    0.279196
          17    0.279279
          18    0.279361
          19    0.279256
          20    0.279293
