#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.68041     5.68041           0
           2     5.80969     5.74505   0.0457061
           3     5.77765     5.75592   0.0317364
           4     5.44442     5.67804   0.0715177
           5     5.29324     5.60108   0.0895081
           6     5.55214     5.59293   0.0749609
           7     5.61021      5.5954   0.0642928
           8     5.60464     5.59655   0.0562666
           9     5.72548     5.61088   0.0518062
          10      5.5714     5.60693   0.0467757
          11     5.65816     5.61159   0.0427546
          12     5.41448     5.59516   0.0422291
          13     5.68452     5.60203   0.0395362
          14     5.70496     5.60939   0.0373895
          15     5.46315     5.59964   0.0361455
          16     5.56708      5.5976   0.0339436
          17     5.49705     5.59169   0.0324582
          18     5.54944     5.58934   0.0307398
          19     5.89829      5.6056   0.0331446
          20     5.68211     5.60943   0.0317074
