#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.720624   -0.720624           0
           2   -0.722408   -0.721516 0.000630739
           3   -0.720464   -0.721165 0.000508716
           4   -0.721388   -0.721221 0.000384571
           5   -0.722356   -0.721448 0.000368613
           6   -0.718668   -0.720985 0.000522739
           7   -0.721812   -0.721103  0.00046123
           8   -0.718856   -0.720822 0.000481554
           9    -0.71952   -0.720677 0.000449253
          10   -0.720468   -0.720656 0.000404815
          11   -0.721224   -0.720708 0.000371288
          12   -0.721008   -0.720733 0.000341188
          13    -0.72326   -0.720927 0.000366153
          14   -0.719376   -0.720817 0.000356373
          15    -0.72192    -0.72089 0.000340122
          16   -0.722068   -0.720964 0.000326734
          17   -0.718892   -0.720842 0.000329459
          18   -0.719388   -0.720761 0.000320904
          19    -0.72248   -0.720852  0.00031651
          20   -0.720564   -0.720837 0.000301011
