#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.398635    0.398635           0
           2     0.39455    0.396593  0.00144415
           3    0.398933    0.397373  0.00115441
           4    0.392939    0.396264  0.00129281
           5    0.392709    0.395553  0.00121411
           6    0.403629    0.396899  0.00159165
           7    0.394205    0.396514  0.00141005
           8    0.394048    0.396206  0.00126704
           9    0.399038    0.396521  0.00116468
          10    0.389836    0.395852  0.00122515
          11    0.397003    0.395957  0.00111822
          12    0.399614    0.396262  0.00106576
          13     0.39808    0.396402 0.000992916
          14    0.394457    0.396263 0.000931661
          15    0.394162    0.396123 0.000880015
          16    0.403341    0.396574 0.000933513
          17    0.400346    0.396796 0.000904589
          18    0.408527    0.397447   0.0010635
          19    0.403131    0.397746  0.00104876
          20    0.405673    0.398143  0.00106858
