#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.10884     0.10884           0
           2    0.105318    0.107079  0.00124522
           3     0.12041    0.111523    0.003722
           4    0.115976    0.112636  0.00295332
           5    0.125714    0.115252  0.00332494
           6    0.080398    0.109443  0.00598306
           7    0.131832    0.112641  0.00592188
           8    0.110744    0.112404  0.00518639
           9    0.109594    0.112092  0.00461951
          10    0.107054    0.111588  0.00418494
          11    0.107452    0.111212  0.00382134
          12    0.126088    0.112452  0.00369851
          13     0.11863    0.112927  0.00344441
          14    0.117056    0.113222  0.00321099
          15    0.127316    0.114161  0.00313138
          16    0.090282    0.112669  0.00327206
          17    0.109566    0.112486  0.00308467
          18     0.10064    0.111828  0.00298269
          19    0.121668    0.112346  0.00287031
          20    0.105642    0.112011   0.0027463
