#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     1.89508     1.89508           0
           2     1.88837     1.89172  0.00236922
           3     1.89043     1.89129  0.00161842
           4      1.8863     1.89005  0.00162483
           5     1.92547     1.89713   0.0064686
           6     1.83362     1.88654   0.0110651
           7     1.85997     1.88275   0.0101146
           8     1.88244     1.88271  0.00885033
           9     1.89966     1.88459  0.00806479
          10      1.8841     1.88454  0.00725847
          11     1.91448     1.88726  0.00709035
          12     1.88915     1.88742  0.00650123
          13     1.90968     1.88913  0.00622262
          14      1.9338     1.89232  0.00654523
          15     1.89864     1.89274  0.00612239
          16     1.90464     1.89349  0.00578472
          17     1.87483     1.89239  0.00554756
          18     1.92021     1.89394  0.00545042
          19     1.95452     1.89713  0.00602448
          20     1.91558     1.89805  0.00579351
