#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1      0.0394      0.0394           0
           2    0.035556    0.037478  0.00135906
           3     0.04323   0.0393953  0.00180878
           4    0.043638    0.040456  0.00163832
           5    0.038546    0.040074  0.00135446
           6    0.042548   0.0404863  0.00118982
           7    0.038542   0.0402086  0.00105177
           8    0.043502   0.0406203 0.000997619
           9    0.040604   0.0406184 0.000886774
          10    0.030048   0.0395614  0.00128163
          11    0.038338   0.0394502  0.00116993
          12    0.030142   0.0386745  0.00130448
          13     0.04225   0.0389495  0.00123279
          14    0.042056   0.0391714  0.00116453
          15    0.039224   0.0391749   0.0010869
          16    0.035268   0.0389308  0.00104604
          17    0.032756   0.0385675  0.00104567
          18    0.038768   0.0385787 0.000987634
          19    0.039438   0.0386239 0.000936688
          20    0.034732   0.0384293 0.000909843
