#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.529508   -0.529508           0
           2   -0.526396   -0.527952  0.00110026
           3   -0.527904   -0.527936 0.000733622
           4   -0.530228   -0.528509 0.000740935
           5   -0.528628   -0.528533  0.00059313
           6     -0.5265   -0.528194 0.000583063
           7   -0.529704    -0.52841 0.000538195
           8   -0.528184   -0.528382 0.000471659
           9   -0.525568   -0.528069 0.000512484
          10   -0.527296   -0.527992 0.000467028
          11   -0.526992   -0.527901 0.000433321
          12   -0.527792   -0.527892 0.000397306
          13   -0.526316    -0.52777 0.000384788
          14   -0.529116   -0.527867 0.000369111
          15   -0.527656   -0.527853  0.00034477
          16    -0.52942   -0.527951 0.000336853
          17   -0.529204   -0.528024 0.000325008
          18   -0.529832   -0.528125 0.000322096
          19   -0.530468   -0.528248 0.000327907
          20   -0.529512   -0.528311 0.000317544
