# VELOCITY:     AVE_POFV:        ERROR:
    0.953333    0.766417  0.00922247
         1.1    0.774832   0.0103544
     1.24667    0.735556   0.0109998
     1.39333    0.649807  0.00617531
        1.54    0.532323   0.0071408
     1.68667    0.442364   0.0102237
     1.83333    0.334958  0.00953264
        1.98    0.240518  0.00512205
     2.12667    0.156787  0.00336949
     2.27333   0.0984932  0.00466783
        2.42   0.0570729   0.0019156
     2.56667   0.0351965  0.00250259
     2.71333   0.0214084  0.00190196
        2.86   0.0115292   0.0012098
     3.00667  0.00609238 0.000723921
     3.15333  0.00272367 0.000812207
         3.3 0.000505051 0.000308489
     3.44667 0.000126263 0.000116896
     3.59333 0.000175866  0.00016282
        3.74 0.000190195 0.000176086
     3.88667 0.000131868 0.000122086
     4.03333 1.35281e-05 1.25246e-05
        4.18 1.80375e-05 1.66995e-05
     4.32667 2.25469e-05 2.08744e-05


   0.0733333   0.0100892  0.00102587
        0.22   0.0860835  0.00276474
    0.366667    0.223636  0.00453054
    0.513333    0.387513  0.00420565
        0.66    0.565187   0.0115544
    0.806667    0.677839  0.00906991
    0.953333    0.763753  0.00844559
         1.1    0.780609   0.0105497
     1.24667     0.73894    0.010132
     1.39333    0.651236  0.00556624
        1.54    0.536142  0.00719758
     1.68667    0.437771  0.00992403
     1.83333    0.331417  0.00897471
        1.98    0.238472  0.00487342
     2.12667    0.155232  0.00328745
     2.27333   0.0977859   0.0041376
        2.42   0.0584852  0.00213418
     2.56667   0.0355516  0.00221481
     2.71333   0.0212852   0.0016682
        2.86    0.011907  0.00111601
     3.00667  0.00561098 0.000777184
     3.15333  0.00247001 0.000749243
         3.3 0.000572128 0.000277124
     3.44667  0.00011048 0.000103344
     3.59333 0.000153883 0.000143944
        3.74  0.00016642 0.000155672
     3.88667 0.000115384 0.000107932
     4.03333 1.18371e-05 1.10726e-05
        4.18 1.57828e-05 1.47635e-05
     4.32667 1.97285e-05 1.84544e-05


   0.0733333   0.0100905 0.000911883
        0.22   0.0850519    0.002643
    0.366667    0.221964  0.00432478
    0.513333    0.389237  0.00407648
        0.66    0.566201   0.0103149
    0.806667    0.679245   0.0081705
    0.953333    0.767907  0.00846721
         1.1    0.784128  0.00994704
