#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.303976    0.303976           0
           2    0.271228    0.287602   0.0115782
           3    0.288644    0.287949  0.00772399
           4    0.320022    0.295968  0.00904306
           5    0.316984    0.300171    0.008153
           6    0.301946    0.300467  0.00679953
           7    0.252308    0.293587  0.00863352
           8    0.225254    0.285045   0.0109958
           9    0.324556    0.289435   0.0106143
          10    0.249836    0.285475    0.010265
          11    0.281768    0.285138  0.00933734
          12    0.262144    0.283222  0.00875364
          13    0.265408    0.281852  0.00818684
          14    0.261664     0.28041  0.00772801
          15    0.262336    0.279205  0.00730614
          16     0.33283    0.282557  0.00757936
          17     0.26176    0.281333  0.00723156
          18    0.314482    0.283175  0.00706041
          19    0.310076    0.284591   0.0068293
          20    0.286318    0.284677  0.00648838
