#   N_BLOCK:  ACCEPTANCE:
           1    0.150796
           2     0.15189
           3    0.151916
           4    0.151036
           5    0.150606
           6    0.150166
           7    0.150223
           8    0.150538
           9    0.150848
          10    0.150911
          11    0.150817
          12    0.150917
          13    0.150878
          14    0.151109
          15     0.15118
          16    0.151039
          17    0.151081
          18     0.15092
          19      0.1509
          20    0.150874
