#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.449266    0.449266           0
           2    0.456101    0.452683  0.00241668
           3    0.437506    0.447624  0.00443386
           4     0.45178    0.448663  0.00344499
           5    0.459652    0.450861  0.00338516
           6    0.448761    0.450511    0.002839
           7    0.431753    0.447831  0.00347509
           8    0.466029    0.450106  0.00371127
           9    0.440663    0.449057  0.00344403
          10    0.443234    0.448475  0.00314847
          11    0.447176    0.448356  0.00286445
          12    0.424435    0.446363  0.00324613
          13    0.418748    0.444239  0.00362546
          14    0.441728    0.444059  0.00337093
          15    0.445859    0.444179  0.00314834
          16    0.450588     0.44458  0.00297693
          17     0.44267    0.444468  0.00280394
          18    0.435405    0.443964  0.00269299
          19    0.450728     0.44432  0.00257467
          20    0.453288    0.444768  0.00248468
