#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.4379     15.4379           0
           2     15.1281      15.283    0.109547
           3     15.4356     15.3339   0.0840165
           4     15.8976     15.4748    0.137354
           5     15.8843     15.5567     0.13206
           6     16.4172     15.7001    0.171029
           7     14.5871     15.5411    0.207754
           8     16.4473     15.6544    0.210408
           9     14.5312     15.5296    0.220959
          10     15.0551     15.4821    0.203894
          11     15.6511     15.4975    0.185936
          12     13.9586     15.3693    0.210059
          13     15.5597     15.3839     0.19441
          14     14.5269     15.3227    0.189917
          15     15.3882     15.3271    0.177306
          16     15.9109     15.3636    0.169938
          17     14.9462      15.339    0.161705
          18     15.8923     15.3697    0.155615
          19     15.8536     15.3952    0.149495
          20     15.6869     15.4098    0.142729
