#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.849804   -0.849804           0
           2   -0.847132   -0.848468 0.000944695
           3   -0.848424   -0.848453  0.00062991
           4     -0.8517   -0.849265 0.000846933
           5   -0.850836   -0.849579 0.000733516
           6   -0.852232   -0.850021 0.000732492
           7   -0.849812   -0.849991  0.00062846
           8   -0.847628   -0.849696 0.000615436
           9   -0.846412   -0.849331 0.000646234
          10   -0.848848   -0.849283 0.000583414
          11   -0.850384   -0.849383 0.000538897
          12   -0.847432    -0.84922 0.000517931
          13   -0.849088    -0.84921 0.000478191
          14   -0.845848    -0.84897  0.00050072
          15   -0.847872   -0.848897 0.000472659
          16   -0.850484   -0.848996 0.000453408
          17   -0.847924   -0.848933   0.0004311
          18   -0.851604   -0.849081 0.000431935
          19   -0.849084   -0.849081 0.000409202
          20    -0.84944   -0.849099 0.000389134
