#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.615012   -0.615012           0
           2   -0.613144   -0.614078 0.000660438
           3    -0.61394   -0.614032 0.000441891
           4     -0.6149   -0.614249 0.000380992
           5   -0.615628   -0.614525 0.000392112
           6   -0.614596   -0.614537 0.000326939
           7   -0.614812   -0.614576  0.00028259
           8   -0.612964   -0.614375 0.000310914
           9   -0.612104   -0.614122 0.000364625
          10    -0.61298   -0.614008 0.000345591
          11   -0.615572    -0.61415 0.000342174
          12   -0.615628   -0.614273 0.000335089
          13   -0.613664   -0.614226 0.000312574
          14   -0.609616   -0.613897 0.000430055
          15   -0.611952   -0.613767 0.000420482
          16   -0.615256   -0.613861 0.000404363
          17   -0.613104   -0.613816 0.000383017
          18   -0.613968   -0.613824 0.000361832
          19   -0.614172   -0.613843  0.00034325
          20    -0.60956   -0.613629 0.000387163
