#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.063544    0.063544           0
           2    0.066134    0.064839 0.000915703
           3    0.063806   0.0644947 0.000672098
           4    0.051632    0.061279   0.0028301
           5    0.058694    0.060762  0.00231082
           6    0.051252    0.059177  0.00240869
           7     0.06344    0.059786  0.00214019
           8    0.071082    0.061198   0.0022916
           9      0.0655    0.061676  0.00208623
          10     0.05328   0.0608364  0.00203957
          11    0.052138   0.0600456  0.00200159
          12     0.06036   0.0600718  0.00183496
          13    0.066016   0.0605291  0.00174985
          14    0.076928   0.0617004  0.00197844
          15    0.052458   0.0610843  0.00194012
          16    0.067304    0.061473   0.0018574
          17     0.05471   0.0610752  0.00179024
          18    0.060312   0.0610328  0.00169128
          19    0.065582   0.0612722  0.00161913
          20    0.056656   0.0610414  0.00155454
