#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     2.94856     2.94856           0
           2     2.97454     2.96155  0.00918633
           3     2.89172     2.93827    0.019968
           4     2.96337     2.94454   0.0159311
           5      3.0149     2.95862   0.0179113
           6     3.02919     2.97038   0.0183869
           7     3.10981      2.9903   0.0242588
           8      3.0686     3.00008   0.0231168
           9     2.96621     2.99632   0.0208525
          10      2.8643     2.98312   0.0225626
          11     2.94614     2.97976   0.0207603
          12     3.01191     2.98244   0.0192024
          13     2.84965     2.97222   0.0202607
          14     2.96908       2.972   0.0188148
          15     2.98488     2.97286     0.01758
          16     2.89792     2.96817   0.0170938
          17     3.01016     2.97064   0.0162658
          18     2.99651     2.97208   0.0154255
          19      2.8319      2.9647   0.0162827
          20      2.9157     2.96225   0.0156518
