#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.569496   -0.569496           0
           2   -0.565604    -0.56755  0.00137603
           3   -0.568984   -0.568028 0.000996925
           4   -0.569796    -0.56847 0.000839982
           5   -0.568532   -0.568482 0.000672077
           6   -0.568564   -0.568496 0.000560202
           7   -0.570284   -0.568751 0.000535247
           8   -0.567268   -0.568566 0.000499429
           9   -0.567904   -0.568492 0.000449321
          10   -0.567596   -0.568403 0.000413234
          11   -0.567008   -0.568276 0.000394642
          12   -0.570136   -0.568431 0.000391012
          13   -0.567328   -0.568346 0.000370025
          14   -0.569476   -0.568427 0.000352285
          15   -0.566804   -0.568319 0.000345013
          16   -0.568188   -0.568311 0.000323546
          17    -0.56594   -0.568171  0.00033321
          18   -0.571388    -0.56835 0.000359446
          19    -0.56928   -0.568399 0.000343845
          20   -0.566724   -0.568315 0.000336695
