#   N_BLOCK:  ACCEPTANCE:
           1     0.43053
           2     0.43195
           3    0.431767
           4    0.431658
           5    0.431595
           6    0.431612
           7    0.431462
           8    0.431486
           9    0.431504
          10    0.431456
          11    0.431552
          12    0.431476
          13    0.431551
          14    0.431519
          15    0.431645
          16    0.431657
          17    0.431836
          18    0.431721
          19    0.431665
          20    0.431723
