#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.04717     0.04717           0
           2    0.043822    0.045496   0.0011837
           3    0.040276    0.043756  0.00162515
           4     0.05486    0.046532  0.00269542
           5    0.046856   0.0465968  0.00215711
           6    0.038862   0.0453077  0.00214854
           7    0.039614   0.0444943  0.00198962
           8    0.053462   0.0456153  0.00203231
           9    0.049468   0.0460433  0.00185103
          10    0.041148   0.0455538  0.00172945
          11    0.045352   0.0455355  0.00157233
          12    0.039142   0.0450027  0.00152891
          13    0.047434   0.0451897  0.00142269
          14    0.048668   0.0454381  0.00134259
          15    0.050332   0.0457644  0.00129212
          16     0.04083    0.045456  0.00124762
          17    0.053466   0.0459272  0.00126007
          18    0.047212   0.0459986  0.00119208
          19     0.04528   0.0459607  0.00112994
          20     0.04582   0.0459537  0.00107347
