#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1      2.3456      2.3456           0
           2     2.33054     2.33807  0.00532657
           3     2.36329     2.34648  0.00772833
           4     2.34467     2.34603  0.00580941
           5     2.38574     2.35397  0.00849021
           6     2.35977     2.35494  0.00712997
           7     2.35324     2.35469  0.00611552
           8      2.2697     2.34407    0.011287
           9      2.2811     2.33707    0.012007
          10      2.4411     2.34748   0.0146344
          11     2.35852     2.34848   0.0133384
          12     2.31436     2.34564   0.0125263
          13     2.34412     2.34552   0.0115633
          14     2.37411     2.34756   0.0109162
          15     2.33347     2.34662   0.0102287
          16     2.34533     2.34654  0.00958976
          17     2.30758     2.34425  0.00929545
          18     2.39723     2.34719  0.00923327
          19     2.37026     2.34841  0.00882674
          20     2.38338     2.35015  0.00855685
