#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.027976    0.027976           0
           2    0.027432    0.027704 0.000192333
           3    0.018704    0.024704  0.00245284
           4    0.029972    0.026021  0.00216451
           5    0.033628   0.0275424  0.00220232
           6    0.034276   0.0286647  0.00210185
           7    0.031898   0.0291266  0.00185164
           8    0.025494   0.0286725  0.00167494
           9    0.031916   0.0290329  0.00152711
          10     0.02345   0.0284746  0.00147292
          11     0.02333   0.0280069  0.00141132
          12    0.025136   0.0277677  0.00131383
          13    0.027072   0.0277142  0.00121386
          14    0.029702   0.0278561  0.00113543
          15    0.025792   0.0277185  0.00106804
          16    0.027902     0.02773  0.00100135
          17    0.032346   0.0280015 0.000978566
          18    0.024326   0.0277973 0.000945266
          19    0.034068   0.0281274 0.000951387
          20    0.026288   0.0280354 0.000908252
