#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.462556   -0.462556           0
           2   -0.459868   -0.461212 0.000950352
           3   -0.461468   -0.461297 0.000637387
           4   -0.462204   -0.461524 0.000516775
           5     -0.4633   -0.461879 0.000521392
           6    -0.46178   -0.461863 0.000434755
           7   -0.463868   -0.462149 0.000457395
           8   -0.464092   -0.462392   0.0004602
           9   -0.462688   -0.462425  0.00041024
          10   -0.460528   -0.462235 0.000410736
          11   -0.463016   -0.462306  0.00037948
          12   -0.462424   -0.462316 0.000347984
          13    -0.46206   -0.462296 0.000321773
          14   -0.463256   -0.462365 0.000306004
          15   -0.461444   -0.462303 0.000291696
          16   -0.462572    -0.46232 0.000273948
          17   -0.462736   -0.462345 0.000258923
          18   -0.464044   -0.462439 0.000261182
          19   -0.461796   -0.462405 0.000249619
          20   -0.461924   -0.462381 0.000238295
